class,subclass
Q844482,Q1752350
Q844482,Q2691275
Q844482,Q2693109
Q844482,Q2717573
Q844482,Q3882179
Q844482,Q3882183
Q844482,Q3966286
Q844482,Q4383931
Q844482,Q5260820
Q844482,Q5400895
Q844482,Q5491505
Q844482,Q5890777
Q844482,Q5890813
Q844482,Q5890826
Q844482,Q5939165
Q844482,Q6061403
Q844482,Q6317275
Q844482,Q7450629
Q844482,Q7827372
Q844482,Q7897003
Q844482,Q10477512
Q844482,Q11107713
Q844482,Q11487748
Q844482,Q11568203
Q844482,Q14042845
Q844482,Q16973098
Q844482,Q51159758
Q844482,Q54322305
Q844482,Q64520981
Q844482,Q79433121
Q844482,Q85312410
Q844482,Q99701229
Q844482,Q101419598
Q844482,Q107992235
Q844482,Q110797368
Q844482,Q44595
Q844482,Q5685100
Q844482,Q7646545
Q844482,Q60743215
Q844482,Q109868814
Q844482,Q8452
Q844482,Q16241150
Q844482,Q992216
Q844482,Q7563642
Q844482,Q36963
Q844482,Q652653
Q844482,Q1324130
Q844482,Q1740042
Q844482,Q2142916
Q844482,Q4282505
Q844482,Q5050984
Q844482,Q3377811
Q844482,Q3736149
Q844482,Q231577
Q844482,Q283681
Q844482,Q625835
Q844482,Q625851
Q844482,Q737326
Q844482,Q859701
Q844482,Q923675
Q844482,Q1425609
Q844482,Q2112556
Q844482,Q2340960
Q844482,Q2370417
Q844482,Q2378243
Q844482,Q2614615
Q844482,Q2614627
Q844482,Q2653935
Q844482,Q2811855
Q844482,Q2874481
Q844482,Q2874488
Q844482,Q2874489
Q844482,Q2919952
Q844482,Q3153585
Q844482,Q3179514
Q844482,Q3302667
Q844482,Q3302771
Q844482,Q3494933
Q844482,Q3820722
Q844482,Q4054854
Q844482,Q4668439
Q844482,Q4668441
Q844482,Q4668443
Q844482,Q4668447
Q844482,Q4668448
Q844482,Q4668450
Q844482,Q4668451
Q844482,Q4668452
Q844482,Q4668454
Q844482,Q4668456
Q844482,Q4668457
Q844482,Q4668458
Q844482,Q4668459
Q844482,Q4668461
Q844482,Q4668462
Q844482,Q4668468
Q844482,Q4668469
Q844482,Q4668470
Q844482,Q4668471
Q844482,Q4668474
Q844482,Q4668476
