class	superclass
Q858439	Q108163
Q858439	Q2996394
Q858439	Q1150771
Q858439	Q16686448
Q858439	Q28813620
Q858439	Q22269697
Q858439	Q7184903
Q858439	Q246672
Q858439	Q474328
Q858439	Q2995644
Q858439	Q937228
Q858439	Q13878858
Q858439	Q64732777
Q858439	Q488383
Q858439	Q99527517
Q858439	Q41796
Q858439	Q30241068
Q858439	Q7048977
Q858439	Q483247
Q858439	Q1786828
Q858439	Q9380010
Q858439	Q15916540
Q858439	Q5371079
Q858439	Q628523
Q858439	Q183046
Q858439	Q20817253
Q858439	Q16877783
Q858439	Q16889133
Q858439	Q29651519
Q2783852	Q2783852
Q2783852	Q697327
Q2783852	Q2334719
Q2783852	Q180684
Q2783852	Q327197
Q2783852	Q386724
Q2783852	Q8016240
Q2783852	Q839578
Q2783852	Q451967
Q2783852	Q1864008
Q2783852	Q15401930
Q2783852	Q1190554
Q2783852	Q1301203
Q2783852	Q61788060
Q2783852	Q609298
Q2783852	Q26907166
Q2783852	Q6087062
Q2783852	Q1856757
Q2783852	Q2135540
Q2783852	Q15621286
Q2783852	Q1150771
Q2783852	Q16686448
Q2783852	Q52948
Q2783852	Q602884
Q2783852	Q921513
Q2783852	Q2995644
Q2783852	Q188572
Q2783852	Q3249551
Q2783852	Q488383
Q2783852	Q58415929
Q2783852	Q1914636
Q2783852	Q3769299
Q2783852	Q4026292
Q2783852	Q42848
Q2783852	Q2684591
Q2783852	Q35120
Q2783852	Q483247
Q2783852	Q9332
Q2783852	Q2990593
Q2783852	Q22294683
Q2783852	Q20937557
Q2783852	Q30241068
Q2783852	Q1150070
Q2783852	Q67518978
Q2783852	Q11028
Q2783852	Q108163
Q2783852	Q2996394
Q2783852	Q16887380
Q2783852	Q22269697
Q2783852	Q7184903
Q2783852	Q246672
Q2783852	Q474328
Q2783852	Q13878858
Q2783852	Q64732777
Q2783852	Q28813620
Q2783852	Q41796
Q2783852	Q7048977
Q2783852	Q99527517
Q2783852	Q1786828
Q2783852	Q9380010
Q2783852	Q15916540
Q2783852	Q5371079
Q2783852	Q628523
Q2783852	Q183046
Q2783852	Q20817253
Q2783852	Q16877783
Q2783852	Q16889133
Q2783852	Q29651519
Q15747939	Q15747939
Q15747939	Q8454
Q15747939	Q149086
Q15747939	Q186361
Q15747939	Q1763090
Q15747939	Q1931388
Q15747939	Q844482
Q15747939	Q74948922
Q15747939	Q2995644
Q15747939	Q4026292
Q15747939	Q49848
Q15747939	Q3769186
Q15747939	Q2574811
Q15747939	Q234460
Q15747939	Q15621286
Q15747939	Q37866906
Q15747939	Q124490
Q15747939	Q31464082
Q15747939	Q30241068
Q15747939	Q327000
Q15747939	Q1190554
Q15747939	Q4
Q15747939	Q2956046
Q15747939	Q3505845
Q15747939	Q1456832
Q15747939	Q1914636
Q15747939	Q184754
Q15747939	Q47461344
Q15747939	Q107435521
Q15747939	Q13427241
Q15747939	Q26907166
Q15747939	Q386724
Q15747939	Q35120
Q15747939	Q488383
Q15747939	Q1554231
Q15747939	Q20937557
Q15747939	Q15401930
Q15747939	Q3537603
Q15747939	Q6765918
Q15747939	Q103940464
Q15747939	Q1150070
Q15747939	Q3537517
Q15747939	Q483247
Q15747939	Q937228
Q15747939	Q1864008
Q15747939	Q58415929
Q15747939	Q17537576
Q15747939	Q286583
Q15747939	Q8205328
Q15747939	Q188572
Q15747939	Q451967
Q15747939	Q1856757
Q15747939	Q2135540
Q15747939	Q17320256
Q15747939	Q65757353
Q15747939	Q567555
Q15747939	Q1150771
Q15747939	Q16686448
Q15747939	Q16887380
Q15747939	Q23958946
Q15747939	Q42848
Q15747939	Q2684591
Q15747939	Q61788060
Q15747939	Q104493
Q15747939	Q849149
Q15747939	Q223557
Q15747939	Q28813620
Q15747939	Q1293220
Q15747939	Q111752858
Q15747939	Q11028
Q15747939	Q21170479
Q15747939	Q4406616
Q15747939	Q35459920
Q15747939	Q29896155
Q15747939	Q16722960
Q15747939	Q108163
Q15747939	Q99527517
Q15747939	Q3769299
Q15747939	Q3249551
Q15747939	Q7184903
Q15747939	Q246672
Q15747939	Q474328
Q15747939	Q67518978
Q15747939	Q9332
Q15747939	Q1207505
Q15747939	Q10862449
Q15747939	Q55091441
Q15747939	Q41796
Q15747939	Q7048977
Q15747939	Q36161
Q15747939	Q930933
Q15747939	Q217594
Q15747939	Q864377
Q15747939	Q5469988
Q15747939	Q1786828
Q15747939	Q9380010
Q15747939	Q15916540
Q15747939	Q16889133
Q15747939	Q5371079
Q15747939	Q4393498
Q15747939	Q628523
Q15747939	Q183046
Q15747939	Q20817253
Q15747939	Q16877783
Q15747939	Q29651519
Q2223653	Q2223653
Q2223653	Q81672
Q2223653	Q1520311
Q2223653	Q16738832
Q2223653	Q29142
Q2223653	Q178844
Q2223653	Q1174599
Q2223653	Q83267
Q2223653	Q1301203
Q2223653	Q2334719
Q2223653	Q12897867
Q2223653	Q1456832
Q2223653	Q124490
Q2223653	Q4026292
Q2223653	Q6087062
Q2223653	Q180684
Q2223653	Q327197
Q2223653	Q386724
Q2223653	Q8016240
Q2223653	Q1914636
Q2223653	Q839578
Q2223653	Q451967
Q2223653	Q1864008
Q2223653	Q15401930
Q2223653	Q3537603
Q2223653	Q6765918
Q2223653	Q1190554
Q2223653	Q3249551
Q2223653	Q61788060
Q2223653	Q609298
Q2223653	Q26907166
Q2223653	Q1856757
Q2223653	Q2135540
Q2223653	Q15621286
Q2223653	Q20937557
Q2223653	Q1150070
Q2223653	Q67518978
Q2223653	Q567555
Q2223653	Q1150771
Q2223653	Q16686448
Q2223653	Q104493
Q2223653	Q849149
Q2223653	Q52948
Q2223653	Q602884
Q2223653	Q921513
Q2223653	Q2995644
Q2223653	Q188572
Q2223653	Q488383
Q2223653	Q16887380
Q2223653	Q58415929
Q2223653	Q3769299
Q2223653	Q35120
Q2223653	Q21170479
Q2223653	Q42848
Q2223653	Q2684591
Q2223653	Q483247
Q2223653	Q29896155
Q2223653	Q9332
Q2223653	Q2990593
Q2223653	Q22294683
Q2223653	Q30241068
Q2223653	Q28813620
Q2223653	Q11028
Q2223653	Q108163
Q2223653	Q2996394
Q2223653	Q1207505
Q2223653	Q22269697
Q2223653	Q99527517
Q2223653	Q10862449
Q2223653	Q55091441
Q2223653	Q7184903
Q2223653	Q246672
Q2223653	Q474328
Q2223653	Q937228
Q2223653	Q13878858
Q2223653	Q64732777
Q2223653	Q36161
Q2223653	Q930933
Q2223653	Q217594
Q2223653	Q864377
Q2223653	Q5469988
Q2223653	Q41796
Q2223653	Q7048977
Q2223653	Q1786828
Q2223653	Q9380010
Q2223653	Q15916540
Q2223653	Q16889133
Q2223653	Q4393498
Q2223653	Q5371079
Q2223653	Q628523
Q2223653	Q183046
Q2223653	Q20817253
Q2223653	Q16877783
Q2223653	Q29651519
Q329777	Q329777
Q329777	Q1301203
Q329777	Q6087062
Q329777	Q3249551
Q329777	Q1150070
Q329777	Q20937557
Q329777	Q67518978
Q329777	Q1190554
Q329777	Q16887380
Q329777	Q35120
Q329777	Q26907166
Q329777	Q28813620
Q329777	Q58415929
Q329777	Q99527517
Q650711	Q650711
Q650711	Q451967
Q650711	Q1931388
Q650711	Q61788060
Q650711	Q2574811
Q650711	Q31464082
Q650711	Q1914636
Q650711	Q3769299
Q650711	Q1190554
Q650711	Q20937557
Q650711	Q9332
Q650711	Q488383
Q650711	Q35120
Q650711	Q26907166
Q650711	Q16887380
Q650711	Q28813620
Q650711	Q58415929
Q650711	Q99527517
Q11822042	Q11822042
Q11822042	Q171558
Q11822042	Q43339602
Q11822042	Q65091757
Q11822042	Q18669875
Q11822042	Q1132455
Q11822042	Q5422048
Q11822042	Q86923152
Q11822042	Q1190554
Q11822042	Q26907166
Q11822042	Q104493
Q11822042	Q18603648
Q11822042	Q31464082
Q11822042	Q21170479
Q11822042	Q813912
Q11822042	Q1207505
Q11822042	Q58415929
Q11822042	Q488383
Q11822042	Q35120
Q11822042	Q3505845
Q11822042	Q937228
Q11822042	Q483247
Q11822042	Q188572
Q11822042	Q42848
Q11822042	Q2684591
Q11822042	Q11028
Q11822042	Q108163
Q11822042	Q7184903
Q11822042	Q246672
Q11822042	Q474328
Q11822042	Q41796
Q11822042	Q7048977
Q11822042	Q1786828
Q11822042	Q9380010
Q11822042	Q15916540
Q11822042	Q5371079
Q11822042	Q628523
Q11822042	Q183046
Q11822042	Q20817253
Q11822042	Q16877783
Q11822042	Q16889133
Q11822042	Q29651519
Q11822042	Q99527517
Q1643989	Q1643989
Q1643989	Q190122
Q1643989	Q831772
Q1643989	Q15809678
Q1643989	Q28038717
Q1643989	Q837171
Q1643989	Q2424752
Q1643989	Q49848
Q1643989	Q234460
Q1643989	Q15621286
Q1643989	Q37866906
Q1643989	Q806750
Q1643989	Q815823
Q1643989	Q7406919
Q1643989	Q25351891
Q1643989	Q28877
Q1643989	Q15401930
Q1643989	Q2897903
Q1643989	Q184754
Q1643989	Q47461344
Q1643989	Q107435521
Q1643989	Q1979154
Q1643989	Q451967
Q1643989	Q58415929
Q1643989	Q1150771
Q1643989	Q16686448
Q1643989	Q386724
Q1643989	Q1554231
Q1643989	Q20937557
Q1643989	Q61788060
Q1643989	Q2995644
Q1643989	Q31464082
Q1643989	Q103940464
Q1643989	Q41719
Q1643989	Q4393498
Q1643989	Q488383
Q1643989	Q17537576
Q1643989	Q35120
Q1643989	Q286583
Q1643989	Q108163
Q1643989	Q321703
Q1643989	Q8205328
Q1643989	Q30241068
Q1643989	Q930933
Q1643989	Q16887380
Q1643989	Q1914636
Q1643989	Q3769299
Q1643989	Q23958946
Q1643989	Q11028
Q1643989	Q246672
Q1643989	Q474328
Q1643989	Q7184903
Q1643989	Q1190554
Q1643989	Q9332
Q1643989	Q223557
Q1643989	Q28813620
Q1643989	Q4406616
Q1643989	Q35459920
Q1643989	Q41796
Q1643989	Q26907166
Q1643989	Q7048977
Q1643989	Q99527517
Q1643989	Q1786828
Q1643989	Q9380010
Q1643989	Q15916540
Q1643989	Q5371079
Q1643989	Q628523
Q1643989	Q183046
Q1643989	Q20817253
Q1643989	Q16877783
Q1643989	Q16889133
Q1643989	Q29651519
Q750215	Q750215
Q750215	Q132821
Q750215	Q1184244
Q750215	Q83267
Q750215	Q149086
Q750215	Q16688120
Q750215	Q1456832
Q750215	Q844482
Q750215	Q74948922
Q750215	Q3537603
Q750215	Q6765918
Q750215	Q124490
